transaction_id,user_id,merchant_id,amount,status,payment_method,transaction_date,device
T124057,U13464,M1138,13960,success,Card,5/31/2024,Mobile
T524745,U10669,M1152,NGN 18050,Pending,,2/7/2025,Mobile
T372050,U11507,M1425,₦43985,Success,,8/4/2025,Web
T308252,U12861,M1482,10882,Pending,,7/29/2024,POS
T830532,U13578,M1181,NGN 10630,Pending,Card,9/29/2024,POS
T181588,U14738,M1315,₦13112,FAILED,USSD,3/7/2025,Mobile
T254650,U14091,M1442,30158,Success,,9/6/2024,POS
T103855,U13690,M1482,₦47435,Pending,Card,7/15/2025,Mobile
T296772,U13442,M1356,NGN 48970,success,,1/12/2026,Web
T300444,U14725,M1489,₦13847,FAILED,USSD,3/8/2026,Web
T626474,U11021,M1358,20217,Pending,,26/07/2025,Web
T968415,U14443,M1218,NGN 23182,FAILED,Card,2/14/2026,Web
T491246,U11449,M1283,NGN 28174,success,,25/09/2025,Web
T821997,U13583,M1324,43327,Success,Card,4/23/2024,Mobile
T117224,U13369,M1053,42673,Success,,7/15/2025,POS
T800144,U12374,M1436,2238,success,Transfer,2/1/2025,POS
T220063,U11602,M1438,25074,Success,USSD,12/1/2025,Web
T838024,U13242,M1003,42361,success,USSD,31/12/2025,POS
T422328,U13397,M1344,₦17434,Success,,9/19/2024,Mobile
T260825,U13067,M1430,NGN 1820,FAILED,USSD,2/19/2026,POS
T353578,U14552,M1498,28281,success,,11/28/2024,POS
T235130,U13198,M1372,₦28221,Pending,USSD,11/28/2024,Mobile
T342189,U10815,M1363,₦28765,Success,,11/21/2024,Web
T266779,U12641,M1104,₦36335,Success,Card,8/7/2024,Mobile
T907437,U14860,M1078,₦41315,Success,,12/12/2025,POS
T236889,U13716,M1324,NGN 48214,FAILED,Transfer,6/22/2025,POS
T411345,U11587,M1274,₦14632,Pending,USSD,4/28/2024,Mobile
T186993,U11177,M1321,₦18120,Success,Card,4/9/2025,POS
T212278,U11161,M1144,8140,success,Card,3/8/2026,Web
T979037,U11703,M1200,₦23784,Pending,Card,7/6/2024,Mobile
T756075,U10625,M1107,NGN 31984,Pending,,7/3/2026,POS
T947825,U11319,M1092,29648,Success,Transfer,9/13/2025,POS
T736123,U10257,M1060,41467,FAILED,,8/17/2024,POS
T105258,U11297,M1267,NGN 35914,FAILED,Card,11/16/2024,POS
T661988,U10188,M1265,NGN 2036,success,Transfer,31/07/2025,Mobile
T130930,U12683,M1070,₦14318,Success,Transfer,3/5/2025,Web
T308915,U10753,M1178,NGN 31660,FAILED,,6/19/2024,Web
T637559,U13276,M1472,₦28677,FAILED,Transfer,5/18/2025,POS
T394736,U13218,M1052,NGN 47115,FAILED,Transfer,8/10/2025,POS
T554527,U13654,M1216,NGN 32070,FAILED,USSD,6/15/2024,Mobile
T501652,U13516,M1102,NGN 39899,FAILED,USSD,12/15/2025,Mobile
T275373,U10276,M1490,NGN 29552,FAILED,,15/03/2026,POS
T656267,U12885,M1203,₦42377,Success,Transfer,2/2/2026,Web
T475122,U12009,M1037,₦12284,FAILED,USSD,11/9/2025,Web
T110100,U12609,M1352,₦8115,FAILED,Transfer,1/2/2025,POS
T343949,U14600,M1033,21173,FAILED,Transfer,6/16/2025,Mobile
T688207,U12277,M1366,NGN 6844,Success,,2/12/2025,Web
T952905,U12622,M1101,₦20926,Success,,7/7/2024,Mobile
T541699,U10976,M1063,18084,success,USSD,6/23/2024,Web
T704413,U10174,M1145,₦15594,Success,,13/08/2025,Mobile
T138805,U14370,M1470,NGN 26498,Success,USSD,3/25/2026,Mobile
T592718,U10779,M1424,4651,FAILED,USSD,29/05/2024,Web
T183641,U14558,M1396,26336,Pending,Card,8/8/2025,Web
T576663,U14041,M1434,NGN 45743,Success,USSD,9/23/2025,Mobile
T334896,U10391,M1422,₦2019,success,Card,3/9/2024,POS
T556846,U11854,M1087,₦47564,success,USSD,3/28/2025,Mobile
T155040,U12127,M1452,₦45204,Success,Card,9/9/2025,Mobile
T445326,U13109,M1138,NGN 17383,success,Transfer,7/8/2025,Web
T232423,U12615,M1441,₦7957,Pending,,12/26/2024,Mobile
T653217,U11970,M1295,34294,Pending,USSD,6/10/2024,POS
T336800,U10752,M1135,31734,Success,USSD,2/17/2026,Mobile
T778569,U11686,M1355,₦43319,Success,,9/24/2025,Mobile
T803069,U11770,M1239,960,success,,6/5/2024,Web
T953536,U14837,M1389,NGN 13774,FAILED,USSD,7/8/2024,Web
T261479,U14132,M1054,₦43045,success,USSD,18/02/2026,Web
T638406,U11663,M1399,40763,success,Card,6/1/2025,Web
T819602,U12516,M1487,NGN 10860,Success,Transfer,27/09/2025,Mobile
T215552,U11970,M1008,48926,success,USSD,6/30/2025,Web
T656673,U13708,M1180,43477,Success,Card,3/1/2026,Web
T257936,U13251,M1257,13997,FAILED,Card,8/3/2026,Web
T202564,U10402,M1332,24333,Pending,Transfer,22/06/2024,Mobile
T285225,U14866,M1141,NGN 26490,Pending,,10/27/2025,POS
T777741,U12039,M1490,₦3368,success,Card,8/20/2025,Mobile
T379108,U11955,M1033,NGN 37798,Success,USSD,10/9/2025,POS
T850595,U13314,M1200,45943,Success,Transfer,2/18/2025,POS
T619225,U11685,M1087,₦17681,FAILED,USSD,3/6/2026,POS
T869531,U10025,M1048,₦18972,Pending,USSD,11/21/2025,Mobile
T430419,U10568,M1085,₦11256,FAILED,,11/14/2024,Mobile
T597654,U13505,M1171,₦43749,success,USSD,7/31/2025,Mobile
T897191,U10079,M1304,44612,Pending,Card,20/04/2026,Mobile
T214699,U10370,M1419,₦31070,FAILED,Transfer,11/16/2025,POS
T891666,U11200,M1396,₦11064,Success,USSD,2/12/2026,Web
T614496,U12873,M1279,29762,Pending,USSD,17/02/2025,Web
T967958,U12888,M1154,NGN 988,FAILED,,7/8/2024,Web
T644534,U10169,M1075,45043,success,Transfer,2/4/2026,Web
T356238,U14731,M1379,NGN 2125,Pending,USSD,9/18/2024,POS
T303258,U13094,M1327,₦5950,FAILED,,1/8/2025,Mobile
T812052,U12857,M1454,17487,Pending,,14/03/2026,Web
T143096,U14747,M1266,NGN 12589,FAILED,Card,14/03/2025,Web
T931023,U12842,M1147,₦37236,Success,,2/18/2025,Mobile
T813999,U11230,M1267,30660,success,USSD,3/8/2025,Web
T938635,U12414,M1007,4334,Success,Transfer,11/12/2024,POS
T155777,U14000,M1156,₦8189,Pending,USSD,2/16/2026,Mobile
T363647,U11128,M1179,3370,success,Card,1/23/2026,Web
T868661,U11611,M1221,NGN 9448,Success,USSD,3/7/2026,Mobile
T471858,U12037,M1415,NGN 31110,Pending,,20/07/2024,Mobile
T416693,U14890,M1159,₦17221,Pending,USSD,11/13/2024,Mobile
T904950,U11634,M1128,₦44882,Pending,Transfer,26/03/2025,Web
T411777,U14642,M1474,NGN 5709,Pending,Transfer,2/2/2026,Web
T245342,U14313,M1226,NGN 6394,FAILED,USSD,20/09/2025,Web
T589215,U13444,M1492,28127,Pending,Card,5/13/2025,Mobile
T192724,U11151,M1314,27685,success,USSD,8/24/2025,POS
T693047,U12403,M1027,35703,success,,12/15/2024,Mobile
T946705,U14243,M1235,₦30430,Success,Card,24/03/2025,POS
T449682,U14868,M1049,7115,Pending,USSD,1/10/2026,Mobile
T713015,U14184,M1378,NGN 48627,Success,Transfer,4/26/2025,Mobile
T876390,U14057,M1069,₦36934,success,USSD,10/11/2025,Web
T106764,U13972,M1319,NGN 47229,success,Card,12/21/2024,Mobile
T733120,U10991,M1266,₦10128,success,Transfer,3/9/2025,Web
T973176,U14143,M1227,1715,Success,Card,3/1/2026,Web
T292984,U11924,M1430,NGN 31801,FAILED,,6/13/2025,POS
T553355,U11198,M1325,₦8173,success,Transfer,9/24/2024,POS
T279071,U14190,M1379,NGN 15873,success,,23/06/2024,Web
T799961,U10819,M1491,NGN 19069,Pending,USSD,5/30/2024,Web
T504562,U10879,M1237,25736,Pending,Transfer,6/9/2024,Web
T225961,U14622,M1199,₦30055,FAILED,Card,6/10/2025,POS
T749987,U13641,M1021,43169,success,,7/2/2024,Web
T109563,U11296,M1183,NGN 18247,success,USSD,12/24/2025,POS
T637966,U10514,M1089,NGN 25699,success,USSD,4/13/2026,POS
T455772,U13764,M1366,₦37006,FAILED,USSD,27/04/2025,Mobile
T607243,U13084,M1492,42379,success,USSD,8/26/2024,POS
T717456,U14757,M1178,NGN 21338,Pending,Card,5/13/2025,Mobile
T266911,U11898,M1049,NGN 48129,Success,,8/16/2024,Web
T896822,U11896,M1395,NGN 21311,success,Card,2/10/2025,POS
T892528,U13441,M1472,₦25271,Success,USSD,8/28/2024,Mobile
T176421,U13617,M1390,49247,Success,Transfer,13/05/2024,Mobile
T571345,U13093,M1068,NGN 45891,success,Transfer,28/07/2024,Web
T811824,U12343,M1115,₦28772,success,,3/8/2026,Mobile
T710384,U10198,M1322,NGN 5737,Success,Transfer,9/2/2024,Mobile
T477027,U13342,M1290,NGN 443,Success,USSD,1/5/2026,POS
T863660,U14326,M1254,₦47939,success,,2/22/2025,Web
T748522,U14576,M1436,₦23462,Success,,14/04/2025,POS
T174310,U14662,M1040,₦24749,FAILED,Card,6/14/2025,Web
T153979,U14927,M1276,15210,Success,Transfer,9/8/2025,Web
T837435,U12931,M1034,₦25686,FAILED,Card,8/7/2024,POS
T994640,U14241,M1477,NGN 15920,FAILED,,2/16/2026,Mobile
T831400,U10908,M1298,35878,FAILED,Card,12/10/2025,Web
T373553,U11642,M1171,₦27717,success,Transfer,1/2/2026,POS
T894133,U10510,M1120,21701,Success,Card,10/4/2025,Mobile
T727203,U10660,M1454,NGN 27378,Pending,Transfer,23/01/2025,POS
T209116,U10291,M1254,NGN 2835,success,USSD,1/8/2024,Web
T919506,U11865,M1010,₦19984,Success,Transfer,1/16/2026,POS
T815067,U10148,M1282,24963,Success,,10/4/2026,POS
T550592,U13496,M1281,₦8307,Success,,3/29/2025,POS
T468877,U11586,M1175,24198,Success,Transfer,12/28/2024,Mobile
T110537,U11860,M1211,NGN 38675,Success,Card,2/16/2026,Mobile
T180333,U10464,M1064,3827,success,USSD,10/13/2024,Web
T731678,U12000,M1149,₦23015,Pending,,9/5/2025,Mobile
T180534,U10625,M1128,NGN 43130,success,,1/26/2025,POS
T330987,U13633,M1365,23493,FAILED,USSD,3/5/2026,Mobile
T380531,U12612,M1357,NGN 34627,Success,Card,10/9/2024,Web
T752079,U13983,M1143,₦46335,success,Transfer,9/22/2025,Mobile
T877947,U14529,M1107,₦20084,FAILED,Transfer,12/21/2025,Mobile
T561664,U13717,M1487,₦45866,Success,,11/10/2025,Web
T716814,U13147,M1153,₦18316,Success,USSD,5/16/2025,Web
T119764,U13134,M1196,32563,Success,Transfer,5/15/2024,Web
T791982,U13531,M1272,₦12186,FAILED,Card,3/30/2026,Web
T738309,U12754,M1472,1803,success,Card,13/11/2024,POS
T555161,U13502,M1400,NGN 40832,Success,Card,6/9/2025,Web
T810902,U12354,M1439,NGN 47370,Pending,,4/21/2024,POS
T906367,U14250,M1133,₦37344,Pending,,9/20/2024,Mobile
T115920,U12299,M1409,NGN 8742,FAILED,Card,11/10/2025,POS
T453928,U14678,M1202,₦19487,FAILED,USSD,19/06/2025,POS
T920433,U14980,M1006,₦16517,FAILED,USSD,4/9/2024,Mobile
T585201,U10141,M1225,₦29185,Pending,Card,28/02/2026,Web
T985339,U14559,M1111,41895,Success,Card,18/06/2024,POS
T429280,U10524,M1225,₦36239,FAILED,USSD,30/04/2024,Web
T338466,U11429,M1075,NGN 8437,Success,Transfer,10/30/2025,POS
T293205,U14151,M1440,2623,FAILED,Card,12/17/2024,POS
T163766,U12122,M1499,15039,Success,USSD,11/14/2024,POS
T729752,U11922,M1179,₦3031,Success,,7/20/2024,POS
T348490,U11671,M1166,NGN 5175,FAILED,,11/20/2024,POS
T396835,U11172,M1012,28049,FAILED,USSD,31/01/2025,POS
T593549,U12408,M1318,₦24657,success,USSD,3/1/2025,Web
T719946,U10209,M1054,NGN 9934,success,USSD,1/20/2025,POS
T632867,U14763,M1364,48730,success,,3/13/2025,Mobile
T861538,U11229,M1195,NGN 43161,Success,Card,1/16/2026,POS
T702343,U14491,M1375,33097,Success,Card,7/24/2024,Web
T649923,U14262,M1225,43301,FAILED,Transfer,10/25/2024,Web
T444650,U11991,M1409,16092,success,,30/10/2024,POS
T826739,U11974,M1227,NGN 7663,Pending,USSD,4/28/2025,Web
T630205,U10626,M1468,36830,Pending,Transfer,7/2/2025,Web
T696998,U11026,M1473,NGN 15157,success,,5/28/2024,POS
T244850,U14960,M1133,43740,FAILED,USSD,5/4/2025,Mobile
T541474,U14137,M1075,NGN 26871,Pending,Transfer,7/16/2024,Web
T274872,U10989,M1214,1116,Pending,Card,6/1/2025,Mobile
T125093,U11367,M1037,₦28373,Pending,,16/01/2025,Mobile
T830782,U14562,M1123,NGN 26466,FAILED,Card,23/03/2025,Web
T738328,U10882,M1369,₦38863,Success,USSD,28/07/2024,Web
T571600,U13569,M1148,41442,success,Transfer,12/12/2025,POS
T187859,U11247,M1458,₦33482,FAILED,,5/8/2024,Web
T285306,U14167,M1369,NGN 28843,FAILED,Card,1/21/2025,Web
T457687,U10395,M1288,NGN 32428,Pending,USSD,13/01/2025,Web
T894086,U11461,M1488,₦20978,Success,Transfer,21/08/2025,POS
T703075,U12575,M1050,18335,FAILED,Transfer,7/7/2024,Web
T610274,U13595,M1114,₦18046,FAILED,USSD,8/23/2025,Mobile
T798806,U12282,M1072,₦15283,success,Transfer,7/20/2024,POS
T666052,U14406,M1409,₦2704,Success,,4/12/2026,Web
T395528,U14678,M1218,NGN 13413,Pending,Transfer,2/6/2025,Web
T851043,U10982,M1227,7283,Pending,USSD,4/29/2024,Mobile
T867173,U10954,M1495,18348,Success,Transfer,8/7/2025,Mobile
T264340,U14153,M1171,21537,Pending,Card,7/2/2024,POS
T140220,U13550,M1051,NGN 20731,FAILED,Transfer,3/17/2026,POS
T137367,U10065,M1125,₦41130,Pending,Transfer,2/18/2025,Mobile
T592951,U11240,M1248,₦17485,Pending,USSD,4/6/2026,Mobile
T193020,U14229,M1438,NGN 41700,success,Card,27/11/2025,Mobile
T684829,U11708,M1363,₦32257,Success,,9/4/2025,Web
T498763,U14783,M1120,NGN 40298,FAILED,,9/10/2025,POS
T414678,U11899,M1448,11900,Pending,,6/3/2025,Web
T474475,U14451,M1246,39280,Success,Transfer,7/10/2024,Web
T568894,U12665,M1126,NGN 27598,Pending,Card,9/25/2025,Web
T792702,U10930,M1177,NGN 20999,Pending,Transfer,10/4/2026,Web
T532016,U11923,M1014,39490,FAILED,Transfer,29/11/2025,Mobile
T909289,U12647,M1133,NGN 36948,FAILED,,24/12/2025,Web
T518045,U12135,M1467,₦27965,FAILED,,4/21/2024,Mobile
T767173,U10373,M1157,22371,Pending,Transfer,10/19/2024,Mobile
T316217,U10903,M1485,NGN 35228,FAILED,Transfer,1/14/2026,POS
T857311,U10172,M1410,1405,Success,USSD,15/09/2024,POS
T786745,U10403,M1265,₦4259,FAILED,Transfer,5/26/2025,POS
T852689,U11878,M1148,₦26021,FAILED,USSD,5/11/2025,Mobile
T868956,U12037,M1481,₦36338,Success,Card,10/7/2024,Mobile
T517267,U13972,M1021,₦32966,FAILED,USSD,1/26/2026,Mobile
T909932,U12025,M1017,41489,Success,,12/18/2024,Web
T958045,U12211,M1441,₦8697,Success,Card,6/29/2025,POS
T899419,U13402,M1010,₦46203,success,Card,1/1/2025,POS
T303721,U14961,M1439,25732,FAILED,,12/26/2024,POS
T416831,U12245,M1234,₦1635,Success,USSD,3/14/2025,POS
T494873,U12385,M1219,₦30993,success,,8/25/2024,Web
T398239,U14368,M1259,₦31776,Pending,Card,29/04/2024,POS
T490843,U14477,M1365,₦25897,Pending,Transfer,8/9/2025,Mobile
T908667,U11901,M1228,26140,Pending,Card,2/27/2026,Web
T250755,U10685,M1048,NGN 21886,success,Transfer,9/5/2025,POS
T187963,U11157,M1206,NGN 16481,Pending,Transfer,4/30/2024,Web
T531865,U12551,M1379,16616,success,Card,11/9/2025,POS
T727814,U13330,M1446,₦37148,FAILED,Transfer,4/24/2024,Web
T624094,U12564,M1491,NGN 35855,success,USSD,15/02/2025,POS
T639420,U14544,M1439,NGN 31753,Success,Card,5/10/2025,POS
T493935,U11042,M1387,₦5179,success,Card,8/8/2025,Mobile
T219185,U10319,M1453,28778,Pending,Transfer,12/28/2025,POS
T246659,U14481,M1214,32028,Success,USSD,4/21/2026,Web
T854914,U12220,M1267,19382,FAILED,Transfer,7/25/2025,Web
T818299,U11674,M1411,NGN 34391,FAILED,USSD,12/6/2024,Web
T446215,U11108,M1084,NGN 13903,Pending,Card,29/07/2025,Web
T257652,U13854,M1034,₦11845,FAILED,Transfer,12/5/2025,POS
T663852,U13756,M1169,₦6250,Success,,7/22/2025,Mobile
T467476,U14580,M1452,₦4475,FAILED,Card,7/31/2025,Web
T960623,U13491,M1299,NGN 18724,FAILED,USSD,1/27/2026,Web
T688368,U14432,M1328,NGN 16795,success,Card,10/29/2025,Mobile
T866150,U11773,M1143,₦6848,FAILED,Card,4/20/2026,POS
T776153,U13137,M1169,NGN 38590,FAILED,,2/28/2025,Mobile
T921417,U11899,M1110,₦275,success,Transfer,4/14/2025,Web
T439044,U10637,M1458,₦116,success,,7/9/2024,POS
T442978,U12478,M1256,₦31012,success,,28/08/2024,Web
T597526,U12908,M1159,NGN 46384,FAILED,Card,6/7/2024,Mobile
T764555,U12275,M1364,₦10986,Pending,,24/01/2025,POS
T818660,U10985,M1285,16519,FAILED,Transfer,7/30/2025,Web
T908184,U12834,M1372,30644,success,Transfer,26/03/2025,Web
T883945,U10087,M1100,11831,FAILED,Transfer,1/26/2026,POS
T444406,U10770,M1466,20441,FAILED,Card,6/24/2025,Web
T778657,U12252,M1328,2297,Pending,Card,5/12/2025,POS
T387492,U10468,M1497,NGN 16683,Success,,12/16/2024,POS
T614117,U11423,M1242,NGN 29884,Success,Card,27/09/2024,Mobile
T847960,U11254,M1361,NGN 40268,success,Transfer,5/15/2025,Web
T158770,U13632,M1326,NGN 7926,Success,USSD,6/7/2025,POS
T993990,U11590,M1335,NGN 18284,Success,USSD,11/4/2025,Web
T277433,U14807,M1369,46585,Success,,20/03/2025,POS
T164470,U10532,M1098,NGN 43985,success,USSD,11/3/2025,Mobile
T146670,U12257,M1311,₦29158,Pending,Transfer,7/24/2025,POS
T426279,U12242,M1287,311,Success,USSD,19/03/2026,POS
T190277,U14638,M1476,45732,Success,Card,2/8/2026,Mobile
T190615,U11520,M1162,NGN 47911,Success,Transfer,5/8/2024,Mobile
T492722,U13771,M1041,NGN 41908,success,USSD,1/13/2025,POS
T883714,U11087,M1158,₦12623,Pending,USSD,1/8/2025,Web
T692487,U12584,M1211,₦9302,success,USSD,9/5/2025,Mobile
T371952,U13601,M1135,₦19428,Pending,USSD,1/21/2025,Web
T909889,U14284,M1230,NGN 22962,success,Card,9/8/2025,Web
T664080,U14658,M1107,NGN 10304,Pending,USSD,2/27/2026,POS
T317523,U12803,M1358,NGN 19019,FAILED,Card,5/7/2024,Mobile
T328856,U13831,M1133,₦17022,Success,Transfer,14/06/2024,Mobile
T715326,U12645,M1190,NGN 30721,Pending,Card,3/3/2026,POS
T760049,U12939,M1445,₦6955,success,,22/07/2024,Web
T779352,U10820,M1095,22164,FAILED,Transfer,8/8/2025,POS
T888576,U10178,M1224,NGN 12300,Pending,,5/13/2024,Web
T974613,U11995,M1129,NGN 31136,FAILED,USSD,3/1/2025,POS
T414754,U10328,M1497,₦26389,Success,,6/2/2026,Web
T520216,U14858,M1014,₦37946,success,USSD,5/25/2025,POS
T308102,U14652,M1384,₦34446,success,USSD,10/15/2024,Mobile
T931377,U11158,M1410,20368,Pending,,4/7/2025,Web
T790601,U11208,M1102,₦155,FAILED,USSD,1/30/2025,Mobile
T999428,U11665,M1223,₦15578,success,Transfer,11/12/2025,POS
T105184,U13910,M1081,24627,Success,,7/18/2025,POS
T832723,U11740,M1467,25924,Pending,,5/1/2025,Mobile
T506400,U11052,M1162,₦6379,Pending,USSD,7/4/2025,POS
T545217,U14890,M1201,NGN 47965,Success,USSD,18/11/2024,POS
T714915,U10220,M1113,NGN 48624,success,Transfer,4/11/2024,Web
T625814,U10013,M1312,NGN 22372,Pending,Card,6/5/2025,Mobile
T624235,U11539,M1022,₦9149,FAILED,,1/11/2025,Web
T785815,U11473,M1217,₦25270,FAILED,USSD,28/09/2024,POS
T136518,U12138,M1490,31600,success,Transfer,3/9/2024,POS
T974756,U10871,M1238,₦34004,FAILED,Card,7/3/2025,Web
T268698,U12613,M1065,NGN 901,Pending,,4/5/2025,Web
T802750,U13290,M1216,₦42948,FAILED,,1/10/2024,POS
T221591,U14944,M1413,41657,FAILED,,9/17/2024,Web
T482585,U10914,M1402,₦35163,Pending,,5/10/2025,Mobile
T107294,U12761,M1485,NGN 9955,FAILED,Transfer,7/4/2024,POS
T577090,U13562,M1024,47785,FAILED,Card,8/2/2024,Web
T484936,U10410,M1455,NGN 30262,FAILED,USSD,16/05/2024,Web
T410529,U10192,M1277,44336,success,USSD,23/12/2024,Web
T568472,U12659,M1152,NGN 1248,Success,Card,25/05/2025,POS
T657075,U13245,M1127,₦2499,Success,Card,11/25/2024,POS
T763664,U14042,M1220,9579,FAILED,,10/24/2024,POS
T965674,U14288,M1291,16097,Success,Card,11/11/2024,Web
T253878,U14991,M1370,NGN 2609,Success,,5/29/2025,POS
T454180,U12473,M1216,5261,Success,Transfer,4/16/2026,Web
T784610,U10649,M1428,47390,Success,Transfer,4/20/2026,Web
T745483,U14211,M1276,₦19970,Success,USSD,4/1/2026,Web
T897671,U13579,M1140,NGN 14203,success,USSD,9/2/2025,POS
T733992,U13265,M1465,₦3097,FAILED,USSD,3/10/2026,Web
T119628,U13394,M1336,₦13674,FAILED,USSD,10/8/2025,POS
T433614,U10795,M1113,₦41705,Success,USSD,3/31/2026,Mobile
T401813,U14991,M1423,40167,Pending,USSD,3/21/2025,Web
T684745,U10102,M1175,31269,FAILED,USSD,13/06/2024,Mobile
T995857,U14087,M1107,NGN 30374,success,,30/05/2025,Web
T792792,U14680,M1495,₦2214,Pending,USSD,4/27/2025,Mobile
T655317,U13024,M1155,49121,FAILED,,11/29/2025,Web
T263473,U14791,M1085,NGN 2037,FAILED,,24/03/2026,Mobile
T397677,U14558,M1380,49342,success,,9/12/2024,Mobile
T736613,U11011,M1049,24900,success,Transfer,5/8/2025,POS
T287299,U11303,M1392,NGN 19062,Pending,,21/04/2024,Mobile
T728357,U12284,M1163,27505,Success,USSD,11/30/2025,POS
T511223,U11844,M1439,34998,Pending,,1/11/2025,Web
T286255,U13277,M1147,₦10387,FAILED,,12/11/2024,Mobile
T203099,U13140,M1297,NGN 44884,Pending,,14/01/2026,Mobile
T130451,U11836,M1070,NGN 41808,Success,,5/14/2024,Web
T362081,U11363,M1291,NGN 40064,Pending,Card,12/8/2025,Mobile
T730553,U13189,M1282,NGN 48790,success,Transfer,20/03/2026,Web
T350940,U11435,M1241,NGN 47486,success,USSD,3/12/2026,Web
T132390,U11695,M1295,4347,Pending,Transfer,5/16/2024,POS
T353633,U11448,M1498,29175,Success,USSD,8/16/2025,Mobile
T857120,U10572,M1003,NGN 30391,Success,,1/28/2026,Web
T173783,U13416,M1490,25352,Success,Card,13/09/2025,Web
T162690,U12399,M1415,47681,Success,USSD,25/05/2024,POS
T759835,U13604,M1219,₦33625,Success,Transfer,1/8/2024,POS
T930072,U10915,M1369,₦49486,FAILED,,4/22/2025,Web
T354875,U13953,M1107,9402,Success,USSD,3/14/2025,POS
T580501,U14026,M1385,₦4954,FAILED,USSD,27/10/2024,POS
T446723,U13689,M1358,29242,FAILED,Card,6/28/2024,Mobile
T402441,U10212,M1113,34295,FAILED,USSD,15/09/2025,POS
